template_name,category,cash_flow_category,template_type,description,is_system,active,version,usage_count,last_used_at
Penjualan Tokopedia,INCOME,OPERATING,DETAILED,Penjualan via Tokopedia dengan potongan admin. Variabel: grossSales (harga jual) adminFee (potongan),false,true,1,0,
Penjualan Shopee,INCOME,OPERATING,DETAILED,Penjualan via Shopee dengan potongan admin. Variabel: grossSales adminFee,false,true,1,0,
Penjualan Lazada,INCOME,OPERATING,DETAILED,Penjualan via Lazada dengan potongan admin. Variabel: grossSales adminFee,false,true,1,0,
Penjualan Bukalapak,INCOME,OPERATING,DETAILED,Penjualan via Bukalapak dengan potongan admin. Variabel: grossSales adminFee,false,true,1,0,
Penjualan TikTok Shop,INCOME,OPERATING,DETAILED,Penjualan via TikTok Shop dengan potongan admin. Variabel: grossSales adminFee,false,true,1,0,
Penjualan Offline/COD,INCOME,OPERATING,SIMPLE,Penjualan langsung atau COD tanpa potongan marketplace,false,true,1,0,
Penjualan + PPN,INCOME,OPERATING,SIMPLE,Penjualan dengan PPN Keluaran 11%. Amount = DPP + PPN,false,true,1,0,
Withdraw Saldo Tokopedia,TRANSFER,OPERATING,SIMPLE,Tarik saldo dari Tokopedia ke rekening bank,false,true,1,0,
Withdraw Saldo Shopee,TRANSFER,OPERATING,SIMPLE,Tarik saldo dari Shopee ke rekening bank,false,true,1,0,
Withdraw Saldo Lazada,TRANSFER,OPERATING,SIMPLE,Tarik saldo dari Lazada ke rekening bank,false,true,1,0,
Withdraw Saldo Bukalapak,TRANSFER,OPERATING,SIMPLE,Tarik saldo dari Bukalapak ke rekening bank,false,true,1,0,
Withdraw Saldo TikTok Shop,TRANSFER,OPERATING,SIMPLE,Tarik saldo dari TikTok Shop ke rekening bank,false,true,1,0,
Retur Penjualan Marketplace,EXPENSE,OPERATING,SIMPLE,Retur penjualan dari marketplace. Amount = nilai retur,false,true,1,0,
Bayar Iklan Marketplace,EXPENSE,OPERATING,SIMPLE,Pembayaran iklan di marketplace (TopAds Shopee Ads dll),false,true,1,0,
Pembelian Barang Dagangan,EXPENSE,OPERATING,SIMPLE,Pembelian barang dagangan untuk dijual,false,true,1,0,
Pembelian Barang + PPN,EXPENSE,OPERATING,SIMPLE,Pembelian barang dengan PPN Masukan 11%. Amount = DPP + PPN,false,true,1,0,
Bayar Supplier,PAYMENT,OPERATING,SIMPLE,Pembayaran hutang ke supplier,false,true,1,0,
Ongkir Ditanggung Penjual,EXPENSE,OPERATING,SIMPLE,Ongkos kirim yang ditanggung penjual (free ongkir),false,true,1,0,
Biaya Packing,EXPENSE,OPERATING,SIMPLE,Biaya kardus bubble wrap lakban dll,false,true,1,0,
Bayar Beban Gaji,EXPENSE,OPERATING,SIMPLE,Pembayaran gaji karyawan gudang/admin,false,true,1,0,
Accrual Gaji Bulan Berjalan,EXPENSE,OPERATING,SIMPLE,Akrual gaji akhir bulan,false,true,1,0,
Bayar Sewa Gudang,EXPENSE,OPERATING,SIMPLE,Pembayaran sewa gudang/tempat penyimpanan,false,true,1,0,
Bayar Beban Listrik,EXPENSE,OPERATING,SIMPLE,Pembayaran listrik gudang/kantor,false,true,1,0,
Bayar Beban Operasional,EXPENSE,OPERATING,SIMPLE,Pembayaran beban operasional umum,false,true,1,0,
Penyesuaian Persediaan Masuk,EXPENSE,OPERATING,SIMPLE,Stock opname lebih - persediaan bertambah,false,true,1,0,
Penyesuaian Persediaan Keluar,EXPENSE,OPERATING,SIMPLE,Stock opname kurang - persediaan berkurang (rusak/hilang),false,true,1,0,
Pembelian Persediaan,EXPENSE,OPERATING,SIMPLE,Template untuk mencatat pembelian persediaan/barang. Variabel: amount (total pembelian),true,true,1,0,
Penjualan Persediaan,INCOME,OPERATING,DETAILED,Template untuk mencatat penjualan persediaan dengan HPP. Variabel: cogsAmount revenueAmount,true,true,1,0,
Transfer Antar Bank,TRANSFER,OPERATING,SIMPLE,Transfer dana antar rekening bank,false,true,1,0,
Setoran Modal,RECEIPT,FINANCING,SIMPLE,Setoran modal dari pemilik,false,true,1,0,
Prive / Pengambilan Pribadi,PAYMENT,FINANCING,SIMPLE,Pengambilan dana oleh pemilik,false,true,1,0,
Beban Admin Bank,EXPENSE,OPERATING,SIMPLE,Potongan biaya administrasi bank,false,true,1,0,
Setor PPh 21,PAYMENT,OPERATING,SIMPLE,Penyetoran PPh 21 karyawan,false,true,1,0,
Setor PPN,PAYMENT,OPERATING,SIMPLE,Penyetoran PPN (Keluaran - Masukan),false,true,1,0,
Bayar PPh Final UMKM,EXPENSE,OPERATING,SIMPLE,Pembayaran PPh Final 0.5% UMKM (PP 55/2022),false,true,1,0,
Bayar Hutang Gaji,PAYMENT,OPERATING,SIMPLE,Pembayaran hutang gaji ke karyawan,false,true,1,0,
Bayar Hutang BPJS,PAYMENT,OPERATING,SIMPLE,Penyetoran BPJS,false,true,1,0,
Cashback dari Marketplace,INCOME,OPERATING,SIMPLE,Cashback atau insentif dari marketplace,false,true,1,0,
Jurnal Manual,TRANSFER,OPERATING,SIMPLE,Template untuk jurnal manual,false,true,1,0,
